Brand,PUG Aisle(s),PUG Signal Tag(s),Status
Frankie's Fabulous Granola,Breakfast-ish,Gives Back,pending
Garden Based,Pantry,Gives Back,pending
Geem,Puffs+Crunch,Regenerative Ingredients,pending
Ghips,Puffs+Crunch,Regenerative Ingredients,pending
Go a Little Nuts,Bites+Chews,Regenerative Ingredients,pending
GOOD GREED,Sweets+Treats,Gives Back,pending
Good Twin,Non-Alc,Organic,pending
Gwell,Bites+Chews,Gives Back,pending
Harken Sweets,Sweets+Treats,Regenerative Ingredients,pending
Harry's Famous Sauce,Pantry,"Regenerative Ingredients, Gives Back",pending
Hayati,Pantry,Gives Back,pending
Herbs & Kettles,Pantry,Regenerative Ingredients,pending
iMind Brain Food,Bites+Chews,Organic,pending
Jennie's House,Pantry,Regenerative Ingredients,pending
Joey Nordic Seed Crisps,Puffs+Crunch,Organic,pending
JOYA,Sweets+Treats,Gives Back,pending
Kahawa 1893 Coffee,Breakfast-ish,Gives Back,pending
Kaizen Food Company,Pantry,Regenerative Ingredients,pending
kencko,Breakfast-ish,Organic,pending
Keya's Snacks,Puffs+Crunch,Organic,pending
Kittylamb,Sweets+Treats,Organic,pending
Kosterina,Pantry,Gives Back,pending
LL's Kitchen,Breakfast-ish,Gives Back,pending
MALK Organics,Breakfast-ish,Organic,pending
Marianne's,Pantry,"Organic, Regenerative Ingredients",pending
Mary's Gone Crackers,Puffs+Crunch,Organic,pending
Matchpoint,Pantry,Organic,pending
Maui Nui,Bites+Chews,Gives Back,pending
Mez Foods,Sweets+Treats,Regenerative Ingredients,pending
Michele's Granola,Breakfast-ish,Gives Back,pending
milkadamia,Breakfast-ish,Regenerative Ingredients,pending
Mixiboy,Sweets+Treats,Organic,pending
Moku,Bites+Chews,Gives Back,pending
More Than Matcha,Pantry,Organic,pending
Morning Made,Pantry,Organic,pending
mowchin goods matcha,Pantry,Organic,pending
NA Beverage Co.,Non-Alc,Organic,pending
Nan's Original Recipes,Pantry,Organic,pending
Nantucket Crisps,Puffs+Crunch,Gives Back,pending
Nature's Element,Breakfast-ish,Organic,pending
Nice Cans,Pantry,"Organic, Regenerative Ingredients",pending
Noshi,Saucy+Spicy,Organic,pending
Oh-Mazing Granola,Breakfast-ish,Gives Back,pending
Ojaswe Co.,Breakfast-ish,Regenerative Ingredients,pending
Ollin,Sweets+Treats,Regenerative Ingredients,pending
Olyra Foods,Breakfast-ish,"Organic, Gives Back",pending
Oso Snacks,Bites+Chews,Organic,pending
Partake Foods,Sweets+Treats,Gives Back,pending
Pastabilities,Pantry,Organic,pending
Pixsea,Puffs+Crunch,Regenerative Ingredients,pending
Popcorn for the People,Puffs+Crunch,Gives Back,pending
Power Up Foods,Bites+Chews,Gives Back,pending
Prest,Pantry,Regenerative Ingredients,pending
PRIMA,Bites+Chews,Regenerative Ingredients,pending
Pulpito Fruit Bites,Bites+Chews,Organic,pending
Racha Organics,Pantry,"Organic, Regenerative Ingredients",pending
Rare Breed Coffee,Pantry,Organic,pending
Reform Botanicals,Non-Alc,Regenerative Ingredients,pending
Rowe's Macaroons,Sweets+Treats,Gives Back,pending
Savannah Bee Company,"Pantry, Sweets+Treats",Regenerative Ingredients,pending
SEEDLY,Sweets+Treats,Organic,pending
Sky High Farm Goods,Pantry,"Regenerative Ingredients, Gives Back",pending
Solely,Bites+Chews,Organic,pending
Sprinkle Bites,Pantry,Organic,pending
Stellar Eats,Breakfast-ish,Gives Back,pending
Sweet Deliverance,Breakfast-ish,Organic,pending
Sweet Stash,Sweets+Treats,Gives Back,pending
Sweeter Collective,Sweets+Treats,Organic,pending
Taim Olive,Pantry,Gives Back,pending
Tazzy Candy,Sweets+Treats,Gives Back,pending
tealish,Pantry,Organic,pending
Tenneyson,Non-Alc,Gives Back,pending
The Conscious Bar,Sweets+Treats,Organic,pending
Three Spirit,Non-Alc,Gives Back,pending
Tidbits,Sweets+Treats,Gives Back,pending
Toodaloo,Breakfast-ish,Gives Back,pending
VEGOBEARS,Sweets+Treats,Organic,pending
VICTORY DANCE FOODS,Breakfast-ish,Gives Back,pending
VYBE Snacks,Bites+Chews,Organic,pending
Ya Albi,Pantry,Regenerative Ingredients,pending
YAX,Puffs+Crunch,Regenerative Ingredients,pending
Zac's Sweet Shop,Sweets+Treats,Gives Back,pending
ZAZ,Sweets+Treats,Organic,pending
ZORA,Sweets+Treats,Gives Back,pending
